"","meanNDVI","date","county"
"NDVI_20120102_clip_20161215062418_1340640095",0.553646482598756,2012-01-02,"merced"
"NDVI_20120103_clip_20161215062419_641691917",0.557973160010526,2012-01-03,"merced"
"NDVI_20120104_clip_20161215062420_859212292",0.636398227364459,2012-01-04,"merced"
"NDVI_20120105_clip_20161215062421_1482969297",0.688048809215743,2012-01-05,"merced"
"NDVI_20120106_clip_20161215062421_1571963790",0.660386867504645,2012-01-06,"merced"
"NDVI_20120107_clip_20161215062422_339207289",0.663046871681836,2012-01-07,"merced"
"NDVI_20120108_clip_20161215062423_1493918480",0.59783425305988,2012-01-08,"merced"
"NDVI_20120109_clip_20161215062423_337901950",0.654419350643721,2012-01-09,"merced"
"NDVI_20120110_clip_20161215062424_240194650",0.639190784103527,2012-01-10,"merced"
"NDVI_20120111_clip_20161215062425_302435300",0.65575018466778,2012-01-11,"merced"
"NDVI_20120112_clip_20161215062425_728170214",0.701650516172169,2012-01-12,"merced"
"NDVI_20120113_clip_20161215062426_1102439678",0.656908151259879,2012-01-13,"merced"
"NDVI_20120114_clip_20161215062427_734173298",0.670265531906695,2012-01-14,"merced"
"NDVI_20120115_clip_20161215062427_1483635794",0.644433147636581,2012-01-15,"merced"
"NDVI_20120116_clip_20161215062428_61559074",0.661785307231577,2012-01-16,"merced"
"NDVI_20120117_clip_20161215062429_1217639264",0.743422497027682,2012-01-17,"merced"
"NDVI_20120118_clip_20161215062429_2143835328",0.642779435080792,2012-01-18,"merced"
"NDVI_20120119_clip_20161215062430_842588115",0.498003524847946,2012-01-19,"merced"
"NDVI_20120120_clip_20161215062430_834972322",0.488147113123974,2012-01-20,"merced"
"NDVI_20120121_clip_20161215062431_445434252",0.569753368508302,2012-01-21,"merced"
"NDVI_20120122_clip_20161215062432_427586292",0.534279462884951,2012-01-22,"merced"
"NDVI_20120123_clip_20161215062432_144215022",0.568514486835422,2012-01-23,"merced"
"NDVI_20120124_clip_20161215062433_1378921277",0.54745127813748,2012-01-24,"merced"
"NDVI_20120125_clip_20161215062434_800974033",0.646908724857487,2012-01-25,"merced"
"NDVI_20120126_clip_20161215062434_82149218",0.545317932894334,2012-01-26,"merced"
"NDVI_20120127_clip_20161215062435_1109446929",0.585607866781736,2012-01-27,"merced"
"NDVI_20120128_clip_20161215062436_1565137050",0.712922190827605,2012-01-28,"merced"
"NDVI_20120129_clip_20161215062436_2078716005",0.642444997024736,2012-01-29,"merced"
"NDVI_20120130_clip_20161215062437_1177817768",0.680379590258649,2012-01-30,"merced"
"NDVI_20120131_clip_20161215062438_1766789414",0.568365172379217,2012-01-31,"merced"
"NDVI_20120201_clip_20161215062438_1332902142",0.68139376337391,2012-02-01,"merced"
"NDVI_20120202_clip_20161215062439_47007387",0.628974998587899,2012-02-02,"merced"
"NDVI_20120203_clip_20161215062440_1931493050",0.591017549021797,2012-02-03,"merced"
"NDVI_20120204_clip_20161215062440_394167147",0.741077426482082,2012-02-04,"merced"
"NDVI_20120205_clip_20161215062441_674313446",0.687200322615815,2012-02-05,"merced"
"NDVI_20120206_clip_20161215062441_2101318811",0.520001254227764,2012-02-06,"merced"
"NDVI_20120207_clip_20161215062442_946247002",0.489019634114784,2012-02-07,"merced"
"NDVI_20120208_clip_20161215062443_272864847",0.70648484936057,2012-02-08,"merced"
"NDVI_20120209_clip_20161215062443_37158574",0.719973062805435,2012-02-09,"merced"
"NDVI_20120210_clip_20161215062444_32958431",0.699756943486624,2012-02-10,"merced"
"NDVI_20120211_clip_20161215062445_1552380219",0.508955259824392,2012-02-11,"merced"
"NDVI_20120212_clip_20161215062445_830195635",0.691177324416737,2012-02-12,"merced"
"NDVI_20120213_clip_20161215062446_300071928",0.499487947896662,2012-02-13,"merced"
